,ticker,close_price,prev_low,prev_high,current_price,pct,side
0,GRTS,9.07,8.39,9.1,8.8,-2.98,buy
1,PDCE,40.62,38.79,41.0,39.46,-2.86,buy
2,GDS,56.79,54.01,57.0,55.18,-2.84,buy
3,LPI,47.32,44.15,48.11,46.01,-2.77,buy
4,FUTU,101.08,96.56,101.9499,98.365,-2.69,buy
5,BILI,79.62,76.125,79.89,77.53,-2.62,buy
6,LBRT,10.34,9.96,10.62,10.07,-2.61,buy
7,CPE,32.63,31.0659,33.2,31.83,-2.45,buy
8,NUVB,9.7,9.17,9.98,9.47,-2.37,buy
9,BLFS,55.61,49.16,56.46,54.3,-2.36,buy
10,XPEV,40.87,39.81,41.22,39.91,-2.35,buy
11,KPTI,5.21,5.01,5.4,5.09,-2.3,buy
12,TBPH,8.7,8.37,9.21,8.5,-2.3,buy
13,UCO,71.26,69.1983,71.8,69.6558,-2.25,buy
14,MSTR,726.71,705.0,735.1,710.5,-2.23,buy
15,QFIN,21.98,20.49,22.4,21.5,-2.18,buy
16,TVTX,20.79,20.0942,20.88,20.34,-2.16,buy
17,OKTA,260.73,253.33,262.9573,255.4598,-2.02,buy
18,JNUG,63.0,61.6738,64.07,61.73,-2.02,buy
19,YI,6.57,6.33,7.81,6.7651,2.97,sell
20,CXM,16.78,16.75,18.3,17.25,2.8,sell
